county,state,2020 Democrat vote raw,2020 Republican vote raw,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Mean income (dollars),Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation,Label (County),Label (State)
Baldwin County,georgia,9140,8903,3.9,10.6,31.9,21.6,8.6,13.5,9.9,0.5459,83.4,65.34,43799,2.6,51.22,41.82,33.79,20.54,20.75,10.0,14.92,Democrat,Democrat
Banks County,georgia,932,7795,6.4,14.2,34.3,19.3,8.7,10.6,6.5,0.4117,78.399,30.51,18035,6.45,86.38,2.18,33.74,15.26,17.95,12.52,20.53,Republican,Democrat
Barrow County,georgia,10453,26804,5.0,7.4,33.6,23.9,8.9,13.9,7.3,0.3906,88.455,202.36,83505,12.65,66.56,12.14,32.92,15.45,22.01,12.3,17.33,Republican,Democrat
Bartow County,georgia,12091,37672,4.1,8.0,37.2,21.8,7.8,14.4,6.7,0.4124,89.775,92.05,108901,9.87,73.61,10.38,31.32,14.01,25.46,10.98,18.23,Republican,Democrat
Ben Hill County,georgia,2393,4111,5.2,11.1,51.3,12.9,7.3,8.7,3.5,0.4989,54.433,26.5,17194,6.13,53.62,36.19,24.5,16.73,23.44,10.92,24.4,Republican,Democrat
Berrien County,georgia,1269,6419,6.3,12.4,38.4,17.8,10.3,9.7,5.1,0.4604,63.731,15.49,18160,5.75,79.27,10.65,30.65,14.48,17.75,15.58,21.54,Republican,Democrat
Bibb County,georgia,43408,26559,3.7,9.8,30.7,22.1,7.8,13.3,12.5,0.5196,74.427,242.38,157346,4.28,36.09,54.17,36.21,18.64,22.94,6.98,15.23,Democrat,Democrat
Bleckley County,georgia,1312,4329,4.7,7.4,31.9,27.0,10.4,11.0,7.6,0.4733,72.658,22.2,12583,3.73,70.47,22.16,34.93,25.25,15.08,10.63,14.11,Republican,Democrat
Brantley County,georgia,700,6993,5.7,14.8,43.3,17.4,8.5,4.7,5.6,0.4538,55.077,15.77,18021,1.81,90.54,3.12,25.39,16.75,18.38,15.4,24.08,Republican,Democrat
Brooks County,georgia,2791,4261,6.5,11.0,37.2,22.4,8.3,9.7,4.9,0.5437,66.023,12.74,16301,5.86,55.62,34.87,24.46,22.94,19.35,14.26,19.0,Republican,Democrat
Bryan County,georgia,6738,14240,2.3,5.4,25.0,23.3,10.1,21.2,12.7,0.4273,76.763,39.7,44738,7.31,70.01,14.15,42.57,14.02,21.58,10.02,11.81,Republican,Democrat
Bulloch County,georgia,11248,18387,2.3,8.9,28.7,21.6,8.8,17.9,11.7,0.4823,74.4,45.6,81099,5.15,61.3,28.08,32.31,17.69,20.95,12.43,16.61,Republican,Democrat
Burke County,georgia,5208,5400,6.0,9.4,37.8,21.2,11.0,10.7,4.0,0.5189,77.372,11.36,24596,3.16,48.55,44.55,21.79,21.58,18.16,15.73,22.74,Republican,Democrat
Butts County,georgia,3274,8406,3.8,12.5,42.7,22.1,5.8,8.4,4.7,0.4057,77.618,53.65,25434,3.16,65.38,26.77,30.13,14.6,22.68,12.0,20.58,Republican,Democrat
Calhoun County,georgia,1263,923,7.6,16.2,39.6,21.5,3.7,7.0,4.4,0.4874,63.633,7.7,5573,2.67,31.69,64.04,32.75,20.65,20.09,7.8,18.71,Democrat,Democrat
Camden County,georgia,7967,15249,1.5,6.0,32.4,28.5,9.9,13.7,7.9,0.4167,81.749,33.76,54768,6.68,67.93,17.34,32.55,19.24,22.18,11.23,14.8,Republican,Democrat
Candler County,georgia,1269,3133,10.7,11.8,35.5,23.7,6.0,8.1,4.2,0.4613,62.538,17.39,10981,12.55,59.8,24.41,32.17,18.41,16.44,12.68,20.3,Republican,Democrat
Carroll County,georgia,16236,37476,5.0,10.5,34.3,21.4,7.6,13.4,7.8,0.4449,84.126,92.87,119148,8.05,67.75,18.28,32.72,15.91,22.16,10.47,18.73,Republican,Democrat
Catoosa County,georgia,6932,25167,3.2,7.4,32.3,24.5,9.4,14.6,8.6,0.4205,86.08,162.03,67872,3.45,87.34,2.66,34.08,14.47,24.91,10.18,16.36,Republican,Democrat
Charlton County,georgia,1105,3419,7.2,8.8,45.2,20.4,6.4,9.7,2.5,0.4489,60.178,6.21,12518,16.26,60.17,19.06,20.27,19.99,15.12,14.92,29.7,Republican,Democrat
Chatham County,georgia,78247,53232,2.6,6.0,24.9,23.0,7.4,21.3,14.8,0.476,92.238,264.35,295291,8.06,47.22,36.58,38.26,19.45,20.92,6.49,14.87,Democrat,Democrat
Chattahoochee County,georgia,667,880,0.6,3.5,23.4,33.7,8.9,19.5,10.5,0.4034,62.041,14.59,9565,16.83,56.49,15.3,28.11,30.32,19.34,9.44,12.78,Republican,Democrat
Chattooga County,georgia,1854,8064,9.9,17.0,38.4,18.4,7.0,5.5,4.0,0.425,54.605,30.69,24965,5.2,80.43,9.58,21.96,13.79,18.56,14.08,31.61,Republican,Democrat
Cherokee County,georgia,42779,99585,3.4,4.4,22.6,22.1,8.0,27.8,11.7,0.4077,76.763,246.29,266620,12.04,74.21,6.5,44.14,14.51,23.23,8.7,9.43,Republican,Democrat
Clarke County,georgia,36055,14450,3.6,6.5,18.6,16.8,6.5,24.4,23.6,0.5067,72.456,417.05,128671,11.14,56.11,24.38,45.39,19.41,17.21,5.2,12.8,Democrat,Democrat
Clay County,georgia,791,637,3.6,13.2,34.4,19.3,13.0,9.8,6.7,0.3999,48.429,5.64,2848,1.44,40.13,55.93,16.78,16.08,18.46,19.52,29.15,Democrat,Democrat
Clayton County,georgia,95466,15811,6.1,8.5,33.2,22.3,9.4,13.8,6.8,0.4196,70.517,807.06,297595,14.3,8.7,68.99,26.02,20.56,22.32,8.38,22.72,Democrat,Democrat
Clinch County,georgia,744,2105,10.2,15.9,36.8,18.0,6.4,9.1,3.7,0.4605,57.046,3.18,6749,3.75,63.06,28.89,28.15,8.83,21.95,19.2,21.87,Republican,Democrat
Cobb County,georgia,221847,165436,3.7,3.2,17.8,18.2,7.4,31.5,18.2,0.4449,76.763,870.4,766149,14.52,48.19,26.11,48.61,13.46,20.77,7.25,9.91,Democrat,Democrat
Coffee County,georgia,4511,10578,8.0,13.7,39.4,18.0,8.0,7.9,5.0,0.4655,62.361,28.07,43092,12.6,56.06,27.55,27.75,14.83,20.19,14.73,22.5,Republican,Democrat
Colquitt County,georgia,4190,11777,8.3,14.0,37.0,17.7,8.3,7.7,7.0,0.4848,68.065,32.34,45898,18.97,55.75,21.78,28.23,14.25,20.25,16.59,20.69,Republican,Democrat
Columbia County,georgia,29232,50013,1.8,5.0,23.0,20.4,12.3,21.6,15.9,0.4106,76.763,208.78,156010,7.6,63.53,17.7,44.33,16.26,20.64,8.71,10.06,Republican,Democrat
Cook County,georgia,2059,4900,6.0,12.0,34.4,21.2,10.3,9.7,6.3,0.4878,65.744,29.14,17229,6.58,61.86,27.59,28.01,14.99,21.69,14.34,20.96,Republican,Democrat
Coweta County,georgia,24210,51501,2.5,6.8,26.0,21.3,9.3,21.9,12.3,0.417,76.763,129.07,146158,7.56,68.02,17.48,40.03,15.08,21.58,8.46,14.86,Republican,Democrat
Crawford County,georgia,1615,4428,5.2,13.8,41.4,19.4,8.9,5.9,5.4,0.4869,82.87,14.45,12130,3.42,73.09,18.69,29.15,12.34,23.58,17.95,16.97,Republican,Democrat
Crisp County,georgia,2982,4985,4.6,13.2,39.0,20.8,8.2,8.5,5.6,0.4835,67.397,28.68,20128,3.15,49.15,43.82,26.25,17.86,20.73,12.54,22.63,Republican,Democrat
Dade County,georgia,1261,6066,4.0,9.5,36.7,20.8,10.6,13.1,5.3,0.4279,79.211,36.02,16251,2.24,90.99,0.87,29.56,17.01,22.82,14.69,15.92,Republican,Democrat
Dawson County,georgia,2486,13398,3.4,8.6,21.9,23.2,7.5,24.5,11.0,0.4122,76.763,50.1,26798,5.99,87.86,0.75,44.13,12.95,23.08,8.06,11.78,Republican,Democrat
DeKalb County,georgia,308162,58377,4.1,4.8,20.3,16.5,7.7,26.2,20.4,0.4914,76.763,1097.95,764382,10.66,28.24,50.29,48.1,14.45,19.65,5.23,12.56,Democrat,Democrat
Decatur County,georgia,4782,6755,7.2,10.5,34.6,21.4,11.3,9.8,5.2,0.4718,63.648,18.79,29367,6.51,48.63,41.54,27.23,22.38,19.34,10.11,20.95,Republican,Democrat
Dodge County,georgia,2172,5843,3.5,9.9,41.7,23.6,6.5,9.7,5.0,0.4684,63.137,15.55,19925,3.11,64.57,29.35,28.43,14.65,15.44,18.0,23.49,Republican,Democrat
Dooly County,georgia,1911,2159,5.0,12.2,42.6,17.6,9.6,8.9,4.1,0.4941,78.644,11.05,11208,7.11,41.14,49.43,30.04,21.37,12.08,10.49,26.02,Republican,Democrat
Dougherty County,georgia,24568,10441,4.4,11.7,29.6,21.7,9.4,12.9,10.4,0.4937,62.407,99.91,85790,2.81,24.05,69.61,32.67,21.57,21.86,7.03,16.88,Democrat,Democrat
Douglas County,georgia,42814,25454,3.2,6.5,30.1,21.7,8.6,18.5,11.4,0.4255,95.06,279.13,144237,11.12,34.58,47.67,36.39,13.51,24.37,8.42,17.31,Democrat,Democrat
Early County,georgia,2450,2710,5.6,14.6,40.8,16.7,8.3,9.1,4.9,0.4788,67.361,8.1,10854,1.71,44.34,50.99,26.63,18.25,21.35,11.25,22.52,Republican,Democrat
Echols County,georgia,167,1256,4.3,13.3,46.4,16.9,5.2,8.6,5.4,0.4324,70.181,3.4,3697,29.51,62.97,3.98,15.04,13.41,22.25,28.83,20.46,Republican,Democrat
Effingham County,georgia,7718,23361,2.2,7.7,33.6,21.9,9.5,17.9,7.2,0.4127,98.83,52.67,64769,5.39,74.42,13.5,36.34,13.88,20.93,12.2,16.65,Republican,Democrat
Elbert County,georgia,2879,6226,4.9,13.3,40.5,21.6,5.5,8.5,5.6,0.4385,65.608,21.52,19637,5.07,64.22,26.75,24.75,14.61,19.81,13.31,27.52,Republican,Democrat
Emanuel County,georgia,2886,6553,6.8,14.1,40.9,17.6,9.0,7.7,3.9,0.4549,62.82,13.0,22768,4.36,60.68,31.83,25.88,17.2,17.4,16.54,22.98,Republican,Democrat
Evans County,georgia,1324,2888,6.9,14.1,38.2,19.6,4.8,10.5,5.9,0.445,66.877,22.71,10774,11.48,56.04,28.62,27.58,16.09,15.91,19.34,21.08,Republican,Democrat
Fannin County,georgia,2570,12169,4.5,7.7,34.4,20.8,9.5,13.1,10.1,0.4905,80.336,25.37,25319,2.97,92.23,0.34,32.39,21.2,21.54,10.68,14.19,Republican,Democrat
Fayette County,georgia,33062,37956,1.8,2.9,20.7,18.5,8.9,29.3,18.0,0.4286,76.763,236.66,119194,7.95,57.17,24.47,49.5,12.88,18.93,6.43,12.26,Republican,Democrat
Floyd County,georgia,11917,28906,6.2,9.7,32.6,21.4,7.8,13.0,9.3,0.4678,80.139,74.63,98584,11.63,68.72,14.14,30.77,18.43,19.55,9.67,21.58,Republican,Democrat
Forsyth County,georgia,42208,85123,2.8,3.3,14.6,16.3,6.8,35.0,21.2,0.3942,76.763,435.25,251283,10.04,63.44,4.16,55.57,10.84,21.5,5.15,6.94,Republican,Democrat
Franklin County,georgia,1593,9069,5.6,13.5,33.3,20.1,10.6,9.9,6.9,0.4845,71.474,34.69,23424,4.79,82.23,8.06,29.56,16.32,18.82,11.37,23.92,Republican,Democrat
Fulton County,georgia,380212,137247,2.3,4.1,16.1,14.3,6.1,33.2,23.9,0.5294,76.763,778.41,1066710,8.09,37.95,42.07,55.59,11.76,20.47,3.17,9.02,Democrat,Democrat
Gilmer County,georgia,2932,13429,6.6,7.4,34.9,18.3,9.4,14.1,9.3,0.4391,83.115,28.55,31353,11.48,84.09,0.41,31.87,15.89,23.0,14.32,14.92,Republican,Democrat
Glascock County,georgia,155,1402,7.9,10.0,39.4,19.6,10.3,11.7,1.3,0.444,74.995,7.8,2884,1.8,89.22,6.8,21.8,18.47,25.51,13.63,20.59,Republican,Democrat
Glynn County,georgia,15882,25617,3.8,8.1,26.8,21.4,9.4,18.2,12.4,0.4954,95.279,77.81,84499,7.5,62.71,24.22,36.39,20.14,22.28,8.05,13.14,Republican,Democrat
Gordon County,georgia,4384,19405,8.7,13.5,35.0,19.8,6.4,9.4,7.3,0.4504,79.038,62.59,57544,15.57,75.28,3.61,28.64,15.43,21.57,11.36,23.01,Republican,Democrat
Grady County,georgia,3619,7034,7.3,11.7,36.2,21.2,7.7,9.4,6.4,0.4646,69.859,22.15,26236,12.48,56.09,27.77,33.6,15.51,18.05,15.59,17.25,Republican,Democrat
Greene County,georgia,4087,7066,3.7,8.3,30.4,17.4,6.8,21.4,12.0,0.5561,76.763,18.95,18915,6.81,58.82,30.57,33.37,15.67,22.47,10.56,17.92,Republican,Democrat
Gwinnett County,georgia,241994,166400,6.2,5.6,22.5,17.3,9.4,25.2,13.7,0.4352,76.763,857.93,957062,23.04,32.45,26.87,40.8,15.34,21.46,9.63,12.77,Democrat,Democrat
Habersham County,georgia,3562,16637,9.2,10.1,33.7,18.0,6.1,12.9,10.1,0.4582,81.009,64.6,46031,14.95,75.37,3.74,31.4,17.18,19.83,12.41,19.18,Republican,Democrat
Hall County,georgia,25033,64183,10.9,8.1,28.4,20.0,7.2,15.9,9.6,0.4529,76.763,201.55,203136,28.06,59.28,7.02,32.62,13.87,21.01,12.21,20.28,Republican,Democrat
Hancock County,georgia,2976,1154,12.4,12.5,35.9,19.5,10.1,8.2,1.5,0.5013,53.841,7.04,8735,0.72,27.62,68.98,20.87,24.55,20.2,8.22,26.17,Democrat,Democrat
Haralson County,georgia,1791,12330,4.6,11.3,39.0,21.2,6.0,11.0,6.9,0.4302,82.33,41.29,29919,1.66,89.66,4.19,32.13,13.19,19.54,12.82,22.32,Republican,Democrat
Harris County,georgia,5457,14319,1.9,4.7,26.6,24.6,9.9,17.9,14.6,0.4142,76.763,29.06,34668,4.09,74.78,14.91,43.86,11.8,21.15,9.56,13.64,Republican,Democrat
Hart County,georgia,3157,9465,5.3,11.9,34.5,20.3,9.8,13.0,5.2,0.4443,77.141,43.37,25828,3.6,74.53,16.74,30.29,17.06,21.85,12.0,18.81,Republican,Democrat
Heard County,georgia,824,4519,4.5,11.4,42.4,24.6,5.4,7.7,3.9,0.4779,80.834,14.99,11412,2.22,84.03,8.15,26.31,13.84,16.49,22.13,21.23,Republican,Democrat
Henry County,georgia,73443,48259,2.5,5.0,31.9,22.2,10.9,17.9,9.6,0.3821,98.501,291.79,240712,7.66,35.85,48.37,35.43,15.45,23.5,8.46,17.17,Democrat,Democrat
Houston County,georgia,32239,41540,2.4,4.6,27.2,22.0,11.8,18.3,13.7,0.415,92.873,168.5,163633,7.22,52.69,31.77,38.21,15.29,22.89,8.88,14.73,Republican,Democrat
Irwin County,georgia,1008,3134,4.8,13.4,36.3,21.7,6.9,8.4,8.4,0.4335,59.585,10.34,9666,6.86,66.23,23.01,29.51,16.08,14.83,13.58,25.99,Republican,Democrat
Jackson County,georgia,7642,29502,4.5,7.7,32.3,20.0,9.0,18.3,8.2,0.4099,76.763,87.59,75907,8.84,77.81,6.77,39.16,14.92,22.13,9.32,14.47,Republican,Democrat
Jasper County,georgia,1761,5822,2.8,7.6,44.1,21.5,5.7,10.1,8.2,0.4608,83.435,15.6,14588,4.69,73.83,16.74,28.9,15.36,21.71,15.16,18.87,Republican,Democrat
Jeff Davis County,georgia,1028,4695,4.8,14.7,38.2,22.8,8.1,8.4,3.1,0.4567,56.898,17.26,14779,13.85,67.33,15.52,28.03,15.27,21.44,12.54,22.72,Republican,Democrat
Jefferson County,georgia,4058,3537,8.3,11.3,41.5,22.2,6.0,7.5,3.3,0.4615,64.495,11.43,15709,2.94,43.5,50.74,28.5,12.14,16.07,14.83,28.46,Democrat,Democrat
Jenkins County,georgia,1266,2161,5.6,12.8,44.4,22.9,5.2,4.9,4.1,0.4805,48.434,9.67,8674,3.49,53.16,40.77,27.96,8.1,31.26,8.5,24.18,Republican,Democrat
Johnson County,georgia,1222,2850,5.1,18.7,43.8,14.8,8.2,4.2,5.3,0.4413,59.256,11.75,9189,1.27,63.12,32.83,23.08,13.63,16.36,22.89,24.04,Republican,Democrat
Jones County,georgia,4882,9940,2.5,5.9,41.4,20.8,11.5,11.6,6.3,0.4469,83.629,27.82,28347,1.68,70.82,23.77,35.17,12.04,28.4,11.67,12.72,Republican,Democrat
Lamar County,georgia,2620,6331,2.9,7.6,35.9,27.3,8.8,9.1,8.3,0.4236,82.098,39.3,18500,2.57,66.72,26.42,30.06,18.76,26.61,11.36,13.21,Republican,Democrat
Lanier County,georgia,1019,2509,5.1,8.0,41.0,18.8,8.6,11.3,7.1,0.4951,60.229,19.57,9877,5.79,66.77,21.65,28.83,24.77,19.11,11.73,15.56,Republican,Democrat
Laurens County,georgia,8074,14493,3.2,10.3,41.7,19.6,8.1,8.8,8.3,0.5225,71.471,23.63,49570,2.87,56.25,36.75,32.34,18.29,20.18,11.24,17.95,Republican,Democrat
Lee County,georgia,4558,12007,2.4,5.6,27.2,19.6,12.5,19.8,12.8,0.3661,95.557,35.77,33163,2.87,68.62,22.11,47.9,13.78,20.06,9.77,8.49,Republican,Democrat
Liberty County,georgia,13104,7959,2.2,5.6,32.0,28.1,11.9,13.9,6.3,0.4084,68.445,49.0,65256,11.93,36.78,41.85,32.54,20.04,20.37,9.4,17.64,Democrat,Democrat
Lincoln County,georgia,1432,3173,2.8,10.0,41.7,20.0,9.3,10.3,6.0,0.4436,71.037,14.18,7690,1.2,67.57,27.52,32.84,19.92,17.76,12.64,16.83,Republican,Democrat
Long County,georgia,2035,3527,2.5,13.6,41.5,20.6,8.7,7.9,5.1,0.4113,69.881,16.2,16168,12.24,54.27,24.91,24.79,22.44,15.44,13.65,23.69,Republican,Democrat
Lowndes County,georgia,20116,25692,3.2,7.1,31.9,21.7,9.9,15.7,10.3,0.4862,70.84,91.83,118251,6.66,50.15,37.16,31.91,17.64,25.69,8.71,16.06,Republican,Democrat
Lumpkin County,georgia,3126,12163,2.3,10.1,29.3,19.9,6.3,19.0,13.0,0.5022,92.797,45.58,33488,5.35,87.32,1.23,31.84,18.71,24.32,9.19,15.95,Republican,Democrat
Macon County,georgia,2858,1783,9.1,18.3,39.1,18.8,4.6,6.0,4.1,0.6041,63.512,11.66,12082,3.91,33.75,59.18,23.79,23.54,18.05,11.25,23.37,Democrat,Democrat
Madison County,georgia,3411,11326,7.0,9.9,34.2,20.6,8.8,9.6,10.0,0.4429,73.468,41.54,30120,6.49,78.18,9.14,31.29,17.38,19.94,14.15,17.23,Republican,Democrat
Marion County,georgia,1312,2275,7.4,16.7,36.7,20.1,7.0,9.4,2.7,0.4224,61.169,7.93,7498,7.47,59.83,28.3,26.47,13.62,21.2,16.07,22.65,Republican,Democrat
McDuffie County,georgia,4168,6169,3.1,11.4,40.1,19.3,7.8,10.1,8.3,0.453,72.508,32.58,21632,3.65,52.78,39.96,30.97,15.7,24.69,11.63,17.01,Republican,Democrat
McIntosh County,georgia,2612,4016,3.0,14.4,36.6,21.6,6.5,11.8,6.0,0.4468,65.348,10.01,10975,2.1,64.33,28.94,24.86,22.49,26.7,11.77,14.18,Republican,Democrat
Meriwether County,georgia,4287,6524,4.2,12.8,42.5,21.9,5.4,8.0,5.1,0.4411,62.898,15.94,20613,2.3,58.62,35.28,26.16,18.29,15.46,14.03,26.06,Republican,Democrat
Miller County,georgia,748,2066,6.1,11.2,29.9,19.2,13.9,11.3,8.3,0.4949,67.507,8.1,6000,2.27,65.82,29.13,36.67,15.23,19.88,11.98,16.26,Republican,Democrat
Mitchell County,georgia,3993,4935,5.3,11.3,36.2,25.4,9.5,6.4,5.9,0.4896,62.136,16.31,21755,4.43,46.45,46.21,28.13,20.98,20.91,14.2,15.79,Republican,Democrat
Monroe County,georgia,4385,11057,3.4,8.2,34.9,17.1,7.9,15.8,12.8,0.4763,76.763,27.57,27957,2.55,71.37,21.76,37.06,19.42,20.0,7.43,16.1,Republican,Democrat
Montgomery County,georgia,980,2960,5.1,11.0,38.5,16.4,9.4,10.6,9.0,0.5085,79.916,13.91,8610,6.63,65.8,24.62,31.76,16.46,17.04,15.59,19.14,Republican,Democrat
Morgan County,georgia,3353,8231,4.0,6.6,35.5,17.2,6.8,17.5,12.3,0.4195,76.763,22.42,20097,3.54,72.09,20.43,39.33,13.24,16.41,10.83,20.19,Republican,Democrat
Murray County,georgia,2301,12944,10.3,13.5,35.4,21.8,7.5,7.5,3.8,0.4313,74.925,44.9,39973,14.79,80.46,0.66,22.37,14.08,20.98,9.52,33.06,Republican,Democrat
Muscogee County,georgia,49446,30107,3.7,7.8,27.1,23.4,9.6,16.5,12.0,0.4843,75.62,364.83,206922,7.98,38.22,45.77,35.6,18.73,23.87,7.19,14.61,Democrat,Democrat
Newton County,georgia,29789,23869,3.4,7.0,33.1,24.8,9.2,13.5,9.0,0.4096,84.253,159.76,112483,6.37,41.56,46.45,34.18,15.5,21.49,10.64,18.18,Democrat,Democrat
Oconee County,georgia,8162,16595,1.4,3.1,16.1,19.5,6.4,26.3,27.1,0.4582,76.763,87.92,41799,5.61,81.07,4.54,53.31,11.52,19.42,6.48,9.27,Republican,Democrat
Oglethorpe County,georgia,2439,5592,4.2,8.3,38.9,17.4,8.5,13.4,9.3,0.4253,79.153,13.17,14825,5.86,73.54,15.16,34.72,16.6,21.68,10.41,16.6,Republican,Democrat
Paulding County,georgia,29695,54517,2.2,6.8,30.1,25.6,8.8,17.6,9.0,0.3545,76.763,209.99,168661,7.45,64.3,21.71,37.76,14.7,23.43,11.5,12.61,Republican,Democrat
Peach County,georgia,5922,6506,5.6,8.4,32.2,19.2,11.7,11.4,11.5,0.4724,79.612,72.08,27981,9.1,43.31,43.38,30.25,15.47,23.56,11.03,19.7,Republican,Democrat
Pickens County,georgia,2824,14110,2.5,7.4,35.6,21.8,8.4,16.0,8.3,0.4409,91.717,55.64,33216,3.61,90.69,0.86,31.99,15.69,22.88,11.28,18.15,Republican,Democrat
Pierce County,georgia,1100,7898,5.9,7.4,41.9,17.6,10.1,9.4,7.6,0.4369,71.39,22.48,19716,5.06,83.2,8.1,27.81,13.94,24.64,13.81,19.8,Republican,Democrat
Pike County,georgia,1505,9127,2.4,9.5,37.3,21.0,9.6,11.4,8.7,0.4169,76.763,34.21,18889,1.84,86.36,7.65,37.04,13.51,22.59,14.08,12.78,Republican,Democrat
Polk County,georgia,3657,13587,6.5,10.6,42.6,18.7,7.2,9.0,5.4,0.4478,70.683,53.52,42853,13.03,70.38,11.95,22.86,17.24,21.69,12.77,25.44,Republican,Democrat
Pulaski County,georgia,1230,2815,13.1,6.2,36.0,24.6,7.3,8.2,4.7,0.4511,62.414,15.31,9855,3.32,61.11,32.08,33.93,17.61,17.69,11.2,19.57,Republican,Democrat
Putnam County,georgia,3448,8291,4.9,7.5,34.1,19.4,8.6,16.3,9.3,0.5092,96.829,24.87,22047,7.06,64.93,24.43,33.97,11.9,21.48,10.99,21.65,Republican,Democrat
Quitman County,georgia,497,604,6.3,14.6,37.2,24.1,6.9,7.0,4.0,0.4749,51.307,5.57,2235,1.39,53.24,41.03,18.86,39.43,11.81,6.67,23.24,Republican,Democrat
Rabun County,georgia,1984,7474,3.7,7.1,29.9,24.6,6.7,15.6,12.4,0.4946,83.513,17.64,16883,8.6,86.63,0.63,33.65,21.05,20.25,13.42,11.62,Republican,Democrat
Randolph County,georgia,1671,1390,7.2,11.7,34.8,21.2,12.7,9.5,2.9,0.4586,39.003,5.74,6425,2.23,35.02,60.11,23.0,27.77,18.76,10.24,20.23,Democrat,Democrat
Richmond County,georgia,59119,26780,3.2,9.2,32.2,22.3,9.6,14.2,9.3,0.4853,70.31,245.41,206607,5.54,33.1,54.67,31.69,21.03,22.15,7.43,17.71,Democrat,Democrat
Rockdale County,georgia,31237,13014,3.8,6.7,28.4,24.2,8.9,17.0,11.1,0.4222,90.49,278.5,93570,10.2,26.18,57.48,34.31,14.47,23.3,8.42,19.51,Democrat,Democrat
Schley County,georgia,462,1800,3.5,11.4,34.6,23.0,9.5,10.0,7.9,0.4632,64.565,10.56,4547,3.85,73.83,18.98,31.54,17.29,22.93,13.78,14.47,Republican,Democrat
Screven County,georgia,2661,3915,2.4,12.6,37.9,21.4,9.9,8.2,7.5,0.4836,73.243,8.39,14067,2.04,57.0,37.57,27.1,17.14,23.62,13.66,18.49,Republican,Democrat
Seminole County,georgia,1256,2613,2.9,9.1,40.3,20.3,10.3,11.1,5.9,0.5508,76.257,14.82,9147,2.49,61.41,32.37,35.47,17.4,14.26,14.95,17.92,Republican,Democrat
Spalding County,georgia,11828,18104,3.6,12.8,39.2,17.2,8.9,11.4,6.9,0.5539,89.899,132.82,67306,5.45,55.13,34.39,27.94,14.95,19.57,12.59,24.95,Republican,Democrat
Stephens County,georgia,2386,9367,5.5,10.9,40.8,21.4,5.5,9.7,6.3,0.4297,66.178,57.71,26784,3.2,79.61,10.96,25.73,18.44,20.88,7.93,27.03,Republican,Democrat
Stewart County,georgia,1182,801,8.7,18.7,36.0,16.8,3.9,11.2,4.6,0.4323,53.207,4.31,5314,22.9,25.18,46.31,21.35,15.0,23.45,9.53,30.68,Democrat,Democrat
Sumter County,georgia,6314,5733,6.7,9.5,35.9,19.2,6.5,14.1,8.0,0.4922,60.049,23.49,29616,5.98,38.92,50.82,35.07,17.1,19.51,8.2,20.13,Democrat,Democrat
Talbot County,georgia,2114,1392,4.2,12.3,41.5,17.6,9.0,9.9,5.5,0.4832,65.761,5.71,5733,1.95,42.33,53.31,33.28,19.27,14.34,9.53,23.58,Democrat,Democrat
Taliaferro County,georgia,561,360,8.5,7.2,42.1,26.2,4.6,6.6,4.8,0.3812,54.144,3.24,1559,4.43,37.91,53.43,19.91,27.69,17.07,6.89,28.44,Democrat,Democrat
Tattnall County,georgia,2062,6054,8.8,12.9,39.7,17.6,7.1,7.6,6.4,0.4537,67.531,19.52,22842,10.08,60.52,26.1,31.88,17.65,17.72,15.16,17.58,Republican,Democrat
Taylor County,georgia,1388,2420,7.9,18.1,38.8,12.9,5.9,10.3,6.1,0.5204,60.232,7.99,7816,2.15,58.65,35.91,27.86,14.55,18.4,16.24,22.95,Republican,Democrat
Telfair County,georgia,1488,2825,10.7,13.8,47.6,12.9,6.9,3.7,4.4,0.5026,59.442,11.14,12477,15.45,47.85,34.67,25.45,17.17,16.28,15.82,25.28,Republican,Democrat
Terrell County,georgia,2376,2004,6.7,11.4,37.5,25.6,5.8,6.5,6.5,0.4612,60.803,10.35,9185,1.93,34.72,60.32,22.03,19.88,23.15,11.95,23.0,Democrat,Democrat
Thomas County,georgia,8708,12969,3.8,9.8,31.4,19.4,11.7,15.7,8.1,0.4713,78.699,32.37,45798,3.44,56.76,35.5,34.73,16.78,21.38,12.11,15.01,Republican,Democrat
Tift County,georgia,5318,10784,5.4,10.7,33.3,18.3,13.6,9.6,9.1,0.4646,71.609,61.04,41344,12.62,53.67,29.14,33.51,16.31,20.96,11.8,17.41,Republican,Democrat
Toombs County,georgia,2938,7873,7.3,9.8,36.5,22.2,7.8,8.7,7.6,0.5054,70.812,28.58,27030,11.26,59.22,25.82,32.67,15.22,17.9,17.27,16.94,Republican,Democrat
Towns County,georgia,1550,6384,1.9,5.9,27.8,22.6,9.9,18.4,13.6,0.4784,75.397,29.1,12493,3.32,91.8,0.99,32.41,22.95,20.9,10.8,12.93,Republican,Democrat
